,MMM,AXP,BA,BAC,C
2014-12-31,164.32000732421875,93.04000091552734,129.97999572753906,17.889999389648438,54.11000061035156
2015-01-02,164.05999755859375,93.0199966430664,129.9499969482422,17.899999618530273,54.2599983215332
2015-01-05,160.36000061035156,90.55999755859376,129.0500030517578,17.3799991607666,52.54999923706055
2015-01-06,158.64999389648438,88.62999725341797,127.52999877929688,16.860000610351562,50.70000076293945
2015-01-07,159.8000030517578,90.3000030517578,129.50999450683594,16.940000534057617,51.16999816894531
2015-01-08,163.6300048828125,91.58000183105467,131.8000030517578,17.290000915527344,51.93999862670898
2015-01-09,161.6199951171875,90.41999816894533,131.5399932861328,16.979999542236328,50.77999877929688
2015-01-12,160.74000549316406,89.5,130.8699951171875,16.68000030517578,50.380001068115234
2015-01-13,160.6199951171875,89.2300033569336,131.1699981689453,16.450000762939453,50.02000045776367
2015-01-14,159.83999633789062,87.06999969482422,130.3800048828125,16.040000915527344,49.04999923706055
2015-01-15,159.66000366210938,85.87999725341797,130.13999938964844,15.199999809265137,47.22999954223633
2015-01-16,162.0,86.04000091552734,130.77999877929688,15.380000114440918,47.61000061035156
2015-01-20,161.94000244140625,87.26000213623047,131.22000122070312,15.260000228881836,47.2599983215332
2015-01-21,162.5399932861328,87.66999816894531,132.41000366210938,15.40999984741211,47.7400016784668
2015-01-22,165.88999938964844,84.37000274658203,135.63999938964844,16.09000015258789,49.56999969482422
2015-01-23,164.02000427246094,84.12999725341797,134.6199951171875,15.729999542236328,48.619998931884766
2015-01-26,164.24000549316406,83.30000305175781,134.07000732421875,15.850000381469728,48.88999938964844
2015-01-27,163.6300048828125,82.4000015258789,132.47999572753906,15.630000114440918,48.310001373291016
2015-01-28,163.94000244140625,81.7300033569336,139.63999938964844,15.199999809265137,47.11000061035156
2015-01-29,166.1300048828125,82.0,147.77999877929688,15.43000030517578,47.619998931884766
2015-01-30,162.3000030517578,80.69000244140625,145.3699951171875,15.149999618530272,46.95000076293945
2015-02-02,164.4199981689453,82.12999725341797,146.25999450683594,15.460000038146973,47.720001220703125
2015-02-03,165.94000244140625,83.7300033569336,147.33999633789062,15.890000343322754,48.880001068115234
2015-02-04,164.80999755859375,83.61000061035156,147.22000122070312,15.789999961853027,48.400001525878906
2015-02-05,166.5500030517578,84.7300033569336,148.60000610351562,15.970000267028809,48.540000915527344
2015-02-06,166.07000732421875,85.01000213623047,148.0,16.489999771118164,49.13999938964844
2015-02-09,164.83999633789062,84.9800033569336,147.5800018310547,16.350000381469727,49.209999084472656
2015-02-10,165.82000732421875,85.83999633789062,148.0399932861328,16.420000076293945,49.38999938964844
2015-02-11,164.47999572753906,86.01000213623047,147.9199981689453,16.360000610351562,49.68000030517578
2015-02-12,165.91000366210938,80.4800033569336,148.08999633789062,16.670000076293945,50.88999938964844
2015-02-13,165.94000244140625,78.08000183105469,149.72999572753906,16.610000610351562,51.20000076293945
2015-02-17,166.9199981689453,79.08000183105469,149.9199981689453,16.6299991607666,51.68999862670898
2015-02-18,167.39999389648438,79.77999877929688,151.1699981689453,16.299999237060547,51.41999816894531
2015-02-19,167.08999633789062,78.4000015258789,153.75,16.209999084472656,51.119998931884766
2015-02-20,168.1199951171875,79.83000183105469,158.30999755859375,16.3799991607666,51.77999877929688
2015-02-23,168.80999755859375,80.30000305175781,154.74000549316406,16.200000762939453,51.31999969482422
2015-02-24,169.1199951171875,80.86000061035156,154.3800048828125,16.3799991607666,51.900001525878906
2015-02-25,168.88999938964844,82.16999816894531,153.00999450683594,16.489999771118164,52.09000015258789
2015-02-26,169.61000061035156,83.25,151.72999572753906,16.040000915527344,52.40999984741211
2015-02-27,168.64999389648438,81.58999633789062,150.85000610351562,15.8100004196167,52.41999816894531
2015-03-02,170.5,82.02999877929688,153.8000030517578,16.010000228881836,53.4900016784668
2015-03-03,168.27000427246094,81.91000366210938,155.57000732421875,16.040000915527344,53.72999954223633
2015-03-04,167.16000366210938,80.62999725341797,154.35000610351562,15.84000015258789,53.66999816894531
2015-03-05,167.57000732421875,81.1500015258789,154.47000122070312,16.0,53.560001373291016
2015-03-06,164.36000061035156,80.30999755859375,153.1199951171875,16.219999313354492,53.060001373291016
2015-03-09,166.3699951171875,80.51000213623047,154.75,16.170000076293945,52.95000076293945
2015-03-10,162.25999450683594,79.11000061035156,152.4199981689453,15.789999961853027,51.22999954223633
2015-03-11,161.72999572753906,79.44999694824219,151.1699981689453,16.110000610351562,52.33000183105469
2015-03-12,164.47000122070312,81.55999755859375,152.0399932861328,16.09000015258789,54.08000183105469
2015-03-13,162.74000549316406,80.5999984741211,151.57000732421875,16.09000015258789,53.540000915527344
2015-03-16,166.2100067138672,81.5,153.6699981689453,16.1299991607666,53.68999862670898
2015-03-17,164.22999572753906,81.05999755859375,154.50999450683594,16.09000015258789,53.84000015258789
2015-03-18,166.47000122070312,81.86000061035156,155.72999572753906,15.979999542236328,53.720001220703125
2015-03-19,165.66000366210938,81.54000091552734,154.11000061035156,15.609999656677246,52.380001068115234
2015-03-20,166.49000549316406,82.69999694824219,154.5,15.84000015258789,52.97999954223633
2015-03-23,166.1300048828125,82.19999694824219,152.80999755859375,15.720000267028809,52.47999954223633
2015-03-24,166.32000732421875,81.37000274658203,151.64999389648438,15.609999656677246,51.93999862670898
2015-03-25,162.6999969482422,80.11000061035156,148.22999572753906,15.40999984741211,51.380001068115234
2015-03-26,162.58999633789062,78.4800033569336,148.1699981689453,15.420000076293944,51.18999862670898
2015-03-27,163.5,77.97000122070312,148.85000610351562,15.3100004196167,51.0
